"","IsCanceled","LeadTime","ArrivalDateYear","ArrivalDateMonth","ArrivalDateWeekNumber","ArrivalDateDayOfMonth","StaysInWeekendNights","StaysInWeekNights","Adults","Children","Babies","Meal","Country","MarketSegment","DistributionChannel","IsRepeatedGuest","PreviousCancellations","PreviousBookingsNotCanceled","ReservedRoomType","AssignedRoomType","BookingChanges","DepositType","Agent","Company","DaysInWaitingList","CustomerType","ADR","RequiredCarParkingSpaces","TotalOfSpecialRequests","ReservationStatus","ReservationStatusDate","ID"
"1",0,6,2015,"July",27,1,0,2,1,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","6","NULL",0,"Transient",0,0,0,"Check-Out",2015-07-03,"city"
"2",1,88,2015,"July",27,1,0,4,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"Canceled",2015-07-01,"city"
"3",1,65,2015,"July",27,1,0,4,1,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",68,0,1,"Canceled",2015-04-30,"city"
"4",1,92,2015,"July",27,1,2,4,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,2,"Canceled",2015-06-23,"city"
"5",1,100,2015,"July",27,2,0,2,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"Canceled",2015-04-02,"city"
"6",1,79,2015,"July",27,2,0,3,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",76.5,0,1,"Canceled",2015-06-25,"city"
"7",0,3,2015,"July",27,2,0,3,1,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","1","NULL",0,"Transient-Party",58.67,0,0,"Check-Out",2015-07-05,"city"
"8",1,63,2015,"July",27,2,1,3,1,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",68,0,0,"Canceled",2015-06-25,"city"
"9",1,62,2015,"July",27,2,2,3,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","8","NULL",0,"Transient",76.5,0,1,"No-Show",2015-07-02,"city"
"10",1,62,2015,"July",27,2,2,3,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","8","NULL",0,"Transient",76.5,0,1,"No-Show",2015-07-02,"city"
"11",0,43,2015,"July",27,3,0,2,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",86,0,0,"Check-Out",2015-07-05,"city"
"12",0,43,2015,"July",27,3,0,2,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","1","NULL",0,"Transient-Party",43,0,0,"Check-Out",2015-07-05,"city"
"13",0,43,2015,"July",27,3,0,2,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",86,0,0,"Check-Out",2015-07-05,"city"
"14",0,4,2015,"July",27,3,0,2,1,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",63,0,0,"Check-Out",2015-07-05,"city"
"15",1,43,2015,"July",27,3,0,2,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","1","NULL",0,"Transient-Party",86,0,0,"Canceled",2015-06-29,"city"
"16",0,43,2015,"July",27,3,0,2,1,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","1","NULL",0,"Transient-Party",63,0,0,"Check-Out",2015-07-05,"city"
